Дорожно-транспортные происшествия, октябрь 2025;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Кемеровская область - Кузбасс;215.0;-7,3;19.0;-36,7;251.0;-14,9;7,0
Новосибирская область;240.0;-9,8;27.0;3,8;294.0;-7,3;8,4
Омская область;212.0;-18,8;16.0;-20,0;283.0;-14,5;5,4
Томская область;42.0;-28,8;7.0;-41,7;45.0;-21,1;13,5
Дальневосточный федеральный округ;847.0;1,1;127.0;10,4;1116.0;8,2;10,2
Республика Бурятия;103.0;-1,9;9.0;-35,7;139.0;-0,7;6,1
Республика Саха (Якутия);51.0;-23,9;12.0;200,0;58.0;-26,6;17,1
Забайкальский край;100.0;-2,0;30.0;66,7;107.0;-22,5;21,9
Приморский край;219.0;-6,4;24.0;-17,2;300.0;5,6;7,4
Камчатский край;42.0;27,3;2.0;-60,0;53.0;43,2;3,6
Хабаровский край;132.0;13,8;13.0;-23,5;156.0;20,0;7,7
Амурская область;118.0;12,4;22.0;37,5;213.0;57,8;9,4
Магаданская область;25.0;38,9;5.0;25,0;26.0;13,0;16,1
Сахалинская область;33.0;-17,5;9.0;80,0;33.0;-23,3;21,4
Еврейская автономная область;21.0;23,5;1.0;-66,7;28.0;40,0;3,4
Чукотский автономный округ;3.0;200,0;0.0;-100,0;3.0;50,0;стаб.
Федеральные территории;3.0;-50,0;1.0;-50,0;3.0;-50,0;25,0
Сириус;3.0;-50,0;1.0;-50,0;3.0;-50,0;25,0
;;;;;;;;
;;;;;;;;
;;;;;;;;
